category,title,url,pages,words,outcome,reason
judgments,https://www.supremecourt.gov/opinions/24pdf/606us2r67_8nka.pdf,https://www.supremecourt.gov/opinions/24pdf/606us2r67_8nka.pdf,6,1268,skip,too short (6p < 15)
judgments,https://www.supremecourt.gov/opinions/24pdf/606us2r66_j426.pdf,https://www.supremecourt.gov/opinions/24pdf/606us2r66_j426.pdf,113,40578,skip,too long (113p > 60)
judgments,https://www.supremecourt.gov/opinions/24pdf/606us2r65_3314.pdf,https://www.supremecourt.gov/opinions/24pdf/606us2r65_3314.pdf,85,29207,skip,too long (85p > 60)
judgments,https://www.supremecourt.gov/opinions/24pdf/606us2r64_8nj9.pdf,https://www.supremecourt.gov/opinions/24pdf/606us2r64_8nj9.pdf,94,33562,skip,too long (94p > 60)
judgments,https://www.supremecourt.gov/opinions/24pdf/606us2r63_n648.pdf,https://www.supremecourt.gov/opinions/24pdf/606us2r63_n648.pdf,136,35116,skip,too long (136p > 60)
judgments,https://www.supremecourt.gov/opinions/24pdf/606us2r62_986b.pdf,https://www.supremecourt.gov/opinions/24pdf/606us2r62_986b.pdf,63,22369,skip,too long (63p > 60)
judgments,HEWITT v. UNITED STATES,https://www.supremecourt.gov/opinions/24pdf/606us1r61_2dp3.pdf,44,15280,kept,
judgments,https://www.supremecourt.gov/opinions/24pdf/606us1r60_h3ci.pdf,https://www.supremecourt.gov/opinions/24pdf/606us1r60_h3ci.pdf,64,22149,skip,too long (64p > 60)
judgments,GUTIERREZ v. SAENZ et al,https://www.supremecourt.gov/opinions/24pdf/606us1r59_g31h.pdf,54,18542,kept,
judgments,"RILEY v. BONDI, ATTORNEY GENERAL",https://www.supremecourt.gov/opinions/24pdf/606us1r58_5h25.pdf,48,16283,kept,
judgments,FOOD AND DRUG ADMINISTRATION et al v. R. J,https://www.supremecourt.gov/opinions/24pdf/606us1r57_n6io.pdf,35,11968,kept,
judgments,ESTERAS v. UNITED STATES,https://www.supremecourt.gov/opinions/24pdf/606us1r56_bq7d.pdf,43,14680,kept,
judgments,"McLAUGHLIN CHIROPRACTIC ASSOCIATES, INC v. McKESSON CORP. et al",https://www.supremecourt.gov/opinions/24pdf/606us1r55_3d9g.pdf,41,13893,kept,
judgments,"DIAMOND ALTERNATIVE ENERGY, LLC, et al v. ENVIRONMENTAL PROTECTION AGENCY et al",https://www.supremecourt.gov/opinions/24pdf/606us1r54_j4ek.pdf,48,15790,kept,
judgments,"STANLEY v. CITY OF SANFORD, FLORIDA",https://www.supremecourt.gov/opinions/24pdf/606us1r53_5i36.pdf,56,19310,kept,
judgments,FULD et al v. PALESTINE LIBERATION,https://www.supremecourt.gov/opinions/24pdf/606us1r52_3eah.pdf,47,15479,kept,
judgments,NUCLEAR REGULATORY COMMISSION et al v. TEXAS et al,https://www.supremecourt.gov/opinions/24pdf/605us2r51_4f57.pdf,51,17092,kept,
judgments,ENVIRONMENTAL PROTECTION AGENCY v. CALU,https://www.supremecourt.gov/opinions/24pdf/605us2r50_g2hk.pdf,40,13241,kept,
judgments,OKLAHOMA et al v. ENVIRONMENTAL,https://www.supremecourt.gov/opinions/24pdf/605us2r49_pok0.pdf,20,6441,kept,
judgments,https://www.supremecourt.gov/opinions/24pdf/605us2r48_m648.pdf,https://www.supremecourt.gov/opinions/24pdf/605us2r48_m648.pdf,116,40070,skip,too long (116p > 60)
judgments,PERTTU v. RICHARDS,https://www.supremecourt.gov/opinions/24pdf/605us2r47_bqm2.pdf,37,13068,kept,
judgments,"RIVERS v. GUERRERO, DIRECTOR, TEXAS DE",https://www.supremecourt.gov/opinions/24pdf/605us2r46_kjfm.pdf,19,6222,kept,
judgments,COMMISSIONER OF INTERNAL REVENUE v. ZUCH,https://www.supremecourt.gov/opinions/24pdf/605us2r45_3f14.pdf,23,7795,kept,
judgments,"G. W., a minor, et al v. UNITED",https://www.supremecourt.gov/opinions/24pdf/605us2r44_4f57.pdf,29,9410,kept,
judgments,PARRISH v. UNITED STATES,https://www.supremecourt.gov/opinions/24pdf/605us2r43_e29g.pdf,21,6942,kept,
