title,category,source_org,url,year,pages,words,local_path,sha256
HEWITT v. UNITED STATES,judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/606us1r61_2dp3.pdf,2024,44,15280,dataset\judgments\hewitt_v_united_states.pdf,e97e497ae03807852e809b712653e4f64efa6b818be7f48a02a1beb3869817d2
GUTIERREZ v. SAENZ et al,judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/606us1r59_g31h.pdf,2024,54,18542,dataset\judgments\gutierrez_v_saenz_et_al.pdf,13f4072b0746020ed2b37b2df58a1cd05253dadfe89c1a2d9b3121b6b3ffaec1
"RILEY v. BONDI, ATTORNEY GENERAL",judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/606us1r58_5h25.pdf,2024,48,16283,dataset\judgments\riley_v_bondi_attorney_general.pdf,5bf1012a4d4cf70aae4a1b1db2d896736fbe82332e7c6b85ca2488dcc43403ef
FOOD AND DRUG ADMINISTRATION et al v. R. J. REYNOLDS VAPOR CO. et al,judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/606us1r57_n6io.pdf,2024,35,11968,dataset\judgments\food_and_drug_administration_et_al_v_r_j.pdf,45eca458b4c9706cb6cf62ef9761b3a544206ee8defe3927503f6c75364ab586
ESTERAS v. UNITED STATES,judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/606us1r56_bq7d.pdf,2024,43,14680,dataset\judgments\esteras_v_united_states.pdf,d45a4197f26807aba7615e1ddf1933cb4bd86508a89df46f44b64e15336cede4
"McLAUGHLIN CHIROPRACTIC ASSOCIATES, INC v. McKESSON CORP. et al",judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/606us1r55_3d9g.pdf,2024,41,13893,dataset\judgments\mclaughlin_chiropractic_associates_inc_v_mckesson_corp_et_al.pdf,903dbe41e1267aaf125f2cbca1836df3b8ae0fc0fb76f6492613d2f9f145120f
"DIAMOND ALTERNATIVE ENERGY, LLC, et al v. ENVIRONMENTAL PROTECTION AGENCY et al",judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/606us1r54_j4ek.pdf,2024,48,15790,dataset\judgments\diamond_alternative_energy_llc_et_al_v_environmental_protection_agency.pdf,b5d7daa366245deda468df4b5f19d0cc00a08aeeada5d83c308abad031571c2a
"STANLEY v. CITY OF SANFORD, FLORIDA",judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/606us1r53_5i36.pdf,2024,56,19310,dataset\judgments\stanley_v_city_of_sanford_florida.pdf,eeb94ef457b828e26c9932a43b6311de3f645ed2b2251caa6d8b1f7190d0883c
FULD et al v. PALESTINE LIBERATION ORGANIZATION et al,judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/606us1r52_3eah.pdf,2024,47,15479,dataset\judgments\fuld_et_al_v_palestine_liberation.pdf,40cc667d588bdba0c030ac314608d52fbf94b1f5b7152f014ec55723ce7eabbe
NUCLEAR REGULATORY COMMISSION et al v. TEXAS et al,judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us2r51_4f57.pdf,2024,51,17092,dataset\judgments\nuclear_regulatory_commission_et_al_v_texas_et_al.pdf,98dc84420df006fb94835269e9e88bd2e2a8f206be5762daeffd2f41a431bae6
"ENVIRONMENTAL PROTECTION AGENCY v. CALUMET SHREVEPORT REFINING, L.L.C., et al",judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us2r50_g2hk.pdf,2024,40,13241,dataset\judgments\environmental_protection_agency_v_calu.pdf,9ba92e34aa7a5df33e91702e1d18cdb675d83c827c65951dfa15d780c773e8fc
OKLAHOMA et al v. ENVIRONMENTAL PROTECTION AGENCY et al,judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us2r49_pok0.pdf,2024,20,6441,dataset\judgments\oklahoma_et_al_v_environmental.pdf,6e1293decc758c7c322b748ee8f01065b0fc60d21f9ac27a44e264918d695fa0
PERTTU v. RICHARDS,judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us2r47_bqm2.pdf,2024,37,13068,dataset\judgments\perttu_v_richards.pdf,d9bcfe43d5d8593b765f8ba8dacca1517d1601e340f4c84c2eb9cfe519861c48
"RIVERS v. GUERRERO, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION",judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us2r46_kjfm.pdf,2024,19,6222,dataset\judgments\rivers_v_guerrero_director_texas_de.pdf,2b97ff6b76054c9ac57e987676a8ec6a7d32c1bbfa6ffc51042e7a2b4555a8b5
